Title,Publisher,Date,Link
How Crypto Liquidations Could Make You Pay Twice,Forbes,2022-06-28,https://www.forbes.com/sites/shehanchandrasekera/2022/06/28/how-crypto-liquidations-could-make-you-pay-twice/
Huobi to Reportedly Lay Off at Least 30% of Staff Citing Sharp Revenue Drop,CryptoPotato,2022-06-28,https://cryptopotato.com/huobi-to-reportedly-lay-off-at-least-30-of-staff-citing-sharp-revenue-drop/
Elon Musk Sued - Crypto Influencers to Follow or Time to ...,Business 2 Community,2022-06-28,https://www.business2community.com/crypto-news/elon-musk-sued-crypto-influencers-to-follow-or-time-to-steer-clear-02512258
Coinbase: Tell us why you want your money or you can't have it,CoinGeek,2022-06-28,https://coingeek.com/coinbase-tell-us-why-you-want-your-money-or-you-cant-have-it/
"‘Crypto is going through what most innovations go through’: Top economist Mohamed El-Erian says that low barriers, overproduction, and unsavvy investors are all part of ‘round one’",Fortune,2022-06-28,https://fortune.com/2022/06/28/economist-mohamed-el-erian-crypto-crash-innovation/
"The Future Crops of Tokenization: An Interview with Darya Novgorodkina, CEO of AgroGloryTime | Bitcoinist.com",Bitcoinist,2022-06-28,https://bitcoinist.com/the-future-crops-of-tokenization-an-interview-with-darya-novgorodkina-ceo-of-agroglorytime/
"Axie Infinity Recovers From $600M Hack, Bridge Re-Launched",Bitcoinist,2022-06-28,https://bitcoinist.com/axie-infinity-recovered-600m-hack-bridge-launched/
Traditional hedge funds consider regulatory uncertainty biggest barrier to entry in crypto,CryptoSlate,2022-06-28,https://cryptoslate.com/traditional-hedge-funds-consider-regulatory-uncertainty-biggest-barrier-to-entry-in-crypto/
Coinbase Global adds support for more cryptos on its ...,Seeking Alpha,2022-06-28,https://seekingalpha.com/news/3852472-coinbase-global-adds-support-for-more-cryptos-on-its-commerce-platform
What does the Gray Glacier upgrade mean for the Ethereum Merge?,CryptoSlate,2022-06-28,https://cryptoslate.com/what-does-the-gray-glacier-upgrade-mean-for-the-ethereum-merge/
Inside the QAnon Crypto Scam That Cost People Millions and One Man His Life,VICE,2022-06-28,https://www.vice.com/en/article/pkgda8/qanon-crypto-scam-whiplash347
Analyst Says One Ethereum-Based Altcoin Is Setting Up for Possible 100X Rally As Crypto Markets Consolidate,The Daily Hodl,2022-06-28,https://dailyhodl.com/2022/06/28/analyst-says-one-ethereum-based-altcoin-is-setting-up-for-possible-100x-rally-as-crypto-markets-consolidate/
Disney Stock Trades Higher after Announcing Reopening of ...,Business 2 Community,2022-06-28,https://www.business2community.com/stock-news/disney-stock-trades-higher-after-announcing-reopening-of-shanghai-park-02512150
NFT NYC: How Dequency Is Using Blockchain to Decentralize ...,Decrypt,2022-06-28,https://decrypt.co/videos/live-events/Z1TYIap1/nft-nyc-how-dequency-is-using-blockchain-to-decentralize-music-usage-rights
Bitpanda becomes next in line to announce layoffs amidst ...,Forbes India,2022-06-28,https://www.forbesindia.com/article/crypto-made-easy/bitpanda-becomes-next-in-line-to-announce-layoffs-amidst-bear-market-blues/77689/1
Circle inks custody deal with New York Community Bancorp,CryptoSlate,2022-06-28,https://cryptoslate.com/circle-inks-custody-deal-with-new-york-community-bancorp/
Neobank K-Bank May Have to Postpone IPO Plan as Crypto ...,Crypto News,2022-06-28,https://cryptonews.com/news/neobank-k-bank-may-have-to-postpone-ipo-plan-as-crypto-winter-bites.htm
StormX: Shop to Earn Crypto Cashback,CryptoPotato,2022-06-28,https://cryptopotato.com/stormx-shop-to-earn-crypto-cashback/
Getting a Loan to Invest in Crypto? Forget About It,TheStreet,2022-06-28,https://www.thestreet.com/investing/cryptocurrency/loans-to-invest-in-crypto-forget-about-it
"Not the best week for crypto lending: Law Decoded, June 20–27",Cointelegraph,2022-06-28,https://cointelegraph.com/news/not-the-best-week-for-crypto-lending-law-decoded-june-20-27
Countdown To Liftoff: Chains CHA Token Presale Debuts In Less Than 24 Hours | Bitcoinist.com,Bitcoinist,2022-06-28,https://bitcoinist.com/cha-token-presale-chains-crypto/
Brockton Man Pleads Guilty in Sophisticated Drug Trafficking ...,Department of Justice,2022-06-28,https://www.justice.gov/usao-ma/pr/brockton-man-pleads-guilty-sophisticated-drug-trafficking-conspiracy-operated-using-dark
DFI.Money (YFII) 150% Pump on DeFi Bottoming Signs - Take ...,Business 2 Community,2022-06-28,https://www.business2community.com/crypto-news/dfi-money-yfii-150-pump-on-defi-bottoming-signs-take-profits-now-02511822
Stratis Price Pumps 80% - What is STRAX and Where to Invest?,Business 2 Community,2022-06-28,https://www.business2community.com/crypto-news/stratis-price-pumps-80-what-is-strax-and-where-to-invest-02512006
